animal,infant,female,male,group,meat
Horse,foal||colt (male)||filly (female)||gelding (castrated male),mare||dam,stallion||stud,stable||stud||harras||herd (wild horses)||band (wild horses)||team (work horses)||rag (colts)||string (ponies)||field (racehorses),
Human,baby||child||infant||girl (female)||boy (male),woman||lady (colloquial),man||gentleman (colloquial),group||family||band||crowd||clan||tribe||horde,
Hummingbird,chick,hen,cock,,
Hyena,cub||pup||whelp,bitch,dog,pack||clan,
Ibex,kid,nanny,billy,herd,
Ibis,chick,,,,
Iguana,hatchling,cow,bull,,
Impala,calf,ewe,ram,herd,
Jackal,pup,,,pack,
Jaguar,cub,,,prowl||leap||parade,
Jay,chick,hen,cock,band||party||scold,
Jellyfish,planula||polyp||ephyra,,,bloom||brood||fluther||smack||smuth,
Jerboa,,,,,
Kangaroo,joey,flyer||doe||jill||roo,boomer||buck||jack,court||herd||troop||mob,
Kingbird,chick,,,,
Kingfisher,chick,,,,
Kinkajou,pup||kit,sow,boar,troop||convergence,
Kite,chick,,,,
Koala,joey,doe,buck,,
Kodkod,kitten,,,,
Komodo dragon,hatchling||chick||calf,cow||hen,bull||cock,,
Kookaburra,chick,,,,
Kouprey,calf,cow,bull,herd,
Kudu,calf,cow,bull,herd,
Langur,infant,,,troop,
Lapwing,chick,,,deceit||desert,
Lark,chick,hen,cock,exaltation,
Lechwe,calf,,,herd,
Lemur,infant,,,conspiracy,
Leopard,cub,leopardess,leopard,leap||lepe,
Lion,cub,lioness,lion,pride||sawt,
Lizard,hatchling,,,,
Llama,cria,hembra||dam,macho||stud,herd||flock,
Lobster,,hen,cock,risk,
Locust,nymph,,,cloud||host||swarm,
Loris,infant,,,colony,
Louse,nymph,,,colony,
Lynx,kitten,,,,
Lyrebird,chick,hen,cock,musket,
Macaque,infant,,,,
Macaw,hatchling,,,,
Magpie,chick,hen,cock,flock,
Mallard||Also see Duck,duckling,hen,greenhead,sord||suit,poultry
Mammoth,calf,cow,bull,herd||pack,
Manatee,calf,cow,bull,herd,
Mandrill,infant,,,horde,
Margay,kitten,,,,
Marmoset,infant,,,,
Meerkat,meerkitten,,,,
Mink,cub||kit,sow,boar,,
Mole,pup,sow,boar,labor,
Mongoose,pup,,,troop||committee||delegation,
Monkey,infant,,,troop,
Moose,calf,cow,bull,herd,venison
Mosquito,nymph||wriggler||tumbler,,,swarm||cloud,
Mouse,kitten||pup||||As pet food:||pinky/fuzzy/crawler/hopper,doe,buck,colony||nest,
Narwhal,calf,,,,
Newt,eft,,,,
Nightingale,chick,hen,cock,watch,
Nilgai,,,bull,,
Ocelot,kitten,queen,torn,clowder,
Octopus,fry,hen,,consortium,
Okapi,calf,cow,bull,herd,
Oncilla,kitten,,,,
Opossum,joey,jill,jack,passel,
Orangutan,baby||child||infant,,,family||troop||band,
Oryx (gemsbok),calf,,,herd,
Ostrich,hatchling||chick,hen,cock,flock||troop,
Otter,pup||whelp,sow,boar,romp||family,
Ox See Cattle,,,,,
Owl,fledgling||owlet,,,parliament,
Oyster,spat,,,bed,
Panther,cub,pantheress,panther,,
Parrot,chick,hen,cock,flock,
Panda||See Giant panda,,,,,
Partridge,chick,hen||chantelle,cock,,
Peafowl,chick||peachick,peahen,peacock,,poultry
Penguin,chick||nestling,,,waddle (on land)||raft (in water)||rookery||colony||huddle||tuxedo,
Pheasant,chick,hen,cock,flock||bouquet||nest||nide||nye,
Pig,piglet||farrow||shoat/shote (just weaned),sow (bred)||gilt (not bred),boar||hog||barrow (castrated),drift||drove||sounder (older pigs)||team (older pigs)||litter (piglets),pork||ham||bacon
Pigeon,squab||squeaker,hen,cock,flock||flight||kit,squab
Polar bear,cub,sow,boar,aurora||celebration||pack,
Pony||See Horse,,,,,
Porcupine,pup,sow,boar,prickle,
Porpoise,calf,cow,bull,pod||school||shoal,
Prairie dog,pup,sow,boar,town,
Pug,pup,bitch,dog||stud||sire,grumble,
Quail,chick,hen,cock,bevy,
Quelea,chick,hen,cock,flock,
Quetzal,nestling,,,flock,
Rabbit,bunny||kit||kitten||nestling,doe||jill,buck||jackyoyo,nest||litter (young)||warren||wrack (young),
Raccoon,cub||kit,sow,boar,gaze||nursery||committee||smack||brace||troop,
